term_a,lang_a,source_a,term_b,lang_b,source_b,link_type,modern_id,notes
essence,French,1600s,essenza,Italian,1600s,same_referent,essence,essence
esprit,French,1600s,spirito,Italian,1600s,same_referent,spirit,distilled spirit
huile essentielle,French,1600s,olio essenziale,Italian,1600s,same_referent,essential_oil,essential oil
mithridate,English,1600s,mitridato,Italian,1600s,same_referent,mithridate,universal antidote
orviétan,French,1600s,orvietano,Italian,1600s,same_referent,orvietan,Venice treacle variant
diascordium,Latin,1600s,diascordio,Spanish,1600s,same_referent,diascordium,opiate electuary
philonium,Latin,1600s,filonio,Spanish,1600s,same_referent,philonium,opiate preparation
requies Nicolai,Latin,1600s,requiem Nicolai,Latin,1600s,orthographic_variant,requies_nicolai,opiate
diacodion,Latin,1600s,diacodio,Spanish,1600s,same_referent,diacodium,poppy syrup
hiera picra,Latin,1600s,iera piera,Spanish,1600s,orthographic_variant,hiera_picra,bitter electuary
bénédicte laxative,French,1600s,benedicta laxativa,Latin,1600s,same_referent,benedicta,laxative confection
confectio hamech,Latin,1600s,confection hamech,English,1600s,same_referent,hamech,purgative
mumia,Latin,1600s,momie,French,1600s,same_referent,mummy,medicinal mummy
unicornu,Latin,1600s,licorne,French,1600s,same_referent,unicorn,unicorn horn
Einhorn,German,1600s,unicornio,Spanish,1600s,same_referent,unicorn,unicorn
lapis bezoar,Latin,1600s,pierre de bézoard,French,1600s,same_referent,bezoar,bezoar stone
margarita,Latin,1600s,perle,French,1600s,same_referent,pearl,medicinal pearl
corallium,Latin,1600s,corail,French,1600s,same_referent,coral,red coral
succinum,Latin,1600s,succin,French,1600s,same_referent,amber,amber/succinite
Bernstein,German,1600s,amber,English,1600s,same_referent,amber,amber
castoreum,Latin,1600s,castoréum,French,1600s,same_referent,castoreum,beaver secretion
Bibergeil,German,1600s,castoreum,English,1600s,same_referent,castoreum,beaver gland
moschus,Latin,1600s,musc,French,1600s,same_referent,musk,musk deer secretion
Moschus,German,1600s,muschio,Italian,1600s,same_referent,musk,musk
ambra grisea,Latin,1600s,ambre gris,French,1600s,same_referent,ambergris,ambergris
zibethum,Latin,1600s,civette,French,1600s,same_referent,civet,civet secretion
Zibeth,German,1600s,zibetto,Italian,1600s,same_referent,civet,civet
cantharides,Latin,1600s,cantaride,French,1600s,same_referent,Lytta_vesicatoria,Spanish fly
Spanische Fliege,German,1600s,cantharides,English,1600s,same_referent,Lytta_vesicatoria,Spanish fly
kermes,Latin,1600s,chermes,Italian,1600s,same_referent,Kermes_vermilio,kermes dye insect
cochenille,French,1600s,cocciniglia,Italian,1600s,same_referent,Dactylopius_coccus,cochineal
grana,Spanish,1600s,graine d'écarlate,French,1600s,same_referent,Kermes_vermilio,kermes grain
indigo,English,1600s,índigo,Spanish,1600s,same_referent,Indigofera,indigo dye
añil,Spanish,1600s,anil,Portuguese,1600s,same_referent,Indigofera,indigo plant
pastel,French,1600s,guado,Italian,1600s,same_referent,Isatis_tinctoria,woad
Waid,German,1600s,woad,English,1600s,same_referent,Isatis_tinctoria,woad
garance,French,1600s,robbia,Italian,1600s,same_referent,Rubia_tinctorum,madder
Krapp,German,1600s,madder,English,1600s,same_referent,Rubia_tinctorum,madder
brasil,Portuguese,1600s,brésil,French,1600s,same_referent,Caesalpinia,brazilwood
Brasilholz,German,1600s,brazil wood,English,1600s,same_referent,Caesalpinia,brazilwood
theriac,English,1600s,orvietan,English,1600s,conceptual_overlap,universal_antidote,both alexipharmics different recipes
aqua vitae,Latin,1600s,usquebaugh,Irish,1600s,conceptual_overlap,distilled_spirit,both distilled spirits
brandy,English,1600s,eau de vie,French,1600s,conceptual_overlap,brandy,both grape spirits
hippocras,English,1600s,claret,English,1600s,conceptual_overlap,spiced_wine,both spiced wines
cordial,English,1600s,elixir,English,1600s,conceptual_overlap,medicinal_drink,both strengthening preparations
purge,English,1600s,laxative,English,1600s,conceptual_overlap,purgative,related but different strengths
vomit,English,1600s,emetic,English,1600s,conceptual_overlap,emetic,vernacular vs learned term
sudorific,English,1600s,diaphoretic,English,1600s,conceptual_overlap,sweat_inducing,same function different terms
anodyne,English,1600s,narcotic,English,1600s,conceptual_overlap,pain_relief,overlapping function
simple,English,1600s,compound,English,1600s,hard_negative,preparation_type,single vs mixed ingredients
Galenic,English,1600s,Paracelsian,English,1600s,hard_negative,medical_tradition,opposing medical schools
vegetable,English,1600s,mineral,English,1600s,hard_negative,materia_medica,different kingdoms
internal,English,1600s,external,English,1600s,hard_negative,application,different application routes
cassia,Latin,1600s,senna,Latin,1600s,hard_negative,Fabaceae,different plants often confused
cinnamon,English,1600s,cassia lignea,Latin,1600s,contested_identity,Cinnamomum,true cinnamon vs cassia
rhubarb,English,1600s,rhapontic,Latin,1600s,contested_identity,Rheum,true vs false rhubarb
opium thebaicum,Latin,1600s,meconium,Latin,1600s,contested_identity,Papaver,different opium preparations
aloe hepatica,Latin,1600s,aloe socotrina,Latin,1600s,contested_identity,Aloe,different aloe grades
guaiacum,Latin,1600s,lignum sanctum,Latin,1600s,contested_identity,Guaiacum,same or different species
balsam of Peru,English,1600s,balsam of Tolu,English,1600s,contested_identity,Myroxylon,related but distinct balsams
storax calamita,Latin,1600s,storax liquida,Latin,1600s,contested_identity,Styrax,different storax preparations
sanguis draconis,Latin,1600s,cinnabar,Latin,1600s,hard_negative,red_substances,red resin vs red mineral
musk,English,1600s,civet,English,1600s,hard_negative,animal_perfume,different animal sources
amber,English,1600s,ambergris,English,1600s,hard_negative,amber_substances,fossil resin vs whale product
laudanum,English,1600s,paregoric,English,1700s,derivation,opiate,different opium preparations
opium → morphine,English,1800s,morphine,English,1800s,derivation,Papaver_somniferum,alkaloid from opium
cinchona bark,English,1600s,Jesuits bark,English,1600s,same_referent,Cinchona,same substance different names
cortex peruvianus,Latin,1600s,quinaquina,Spanish,1600s,same_referent,Cinchona,Peruvian bark
fever bark,English,1600s,cinchona,Latin,1700s,same_referent,Cinchona,common name
