id,slug,canonical_name,category,book_count,total_mentions,reason_count,reasons,books
ent_457c774e8441,voyez-mon-iec-d-obs-astr-tora-i-inirod-p-lxx,"Voyez mon /îec. d'Obs, astr.^ Tora. I, Inirod., p. lxx.",CONCEPT,1,1,3,ocr_noise_char;slash_noise;wrapped_punctuation,relation_historique_humboldt_vol3_1825
ent_9b8f7122d868,po-5,PO_{5},SUBSTANCE,1,1,3,ocr_noise_char;wrapped_punctuation;high_punctuation_ratio,principles_of_psychology_james_1890
ent_f4a3ff015036,on-r-ll,on^r<ll>,CONCEPT,1,1,3,ocr_noise_char;symbol_noise;high_punctuation_ratio,coloquios_da_orta_1563
ent_b613433dd4a6,oma-io-o,OMa/io/«o?,PLACE,1,1,3,ocr_noise_char;slash_noise;high_punctuation_ratio,relation_historique_humboldt_vol3_1825
ent_555da19a1675,no-coloquios,no:{,PLANT,1,1,3,ocr_noise_char;wrapped_punctuation;high_punctuation_ratio,coloquios_da_orta_1563
ent_39630815630e,j-li,j^li',PLANT,1,1,3,ocr_noise_char;wrapped_punctuation;high_punctuation_ratio,coloquios_da_orta_1563
ent_b89b2335aba3,henrique-innite-l,Henrique (In£nite l^.),PERSON,1,1,3,ocr_noise_char;symbol_noise;wrapped_punctuation,coloquios_da_orta_1563
ent_63471ca5c85e,h-2,H_{2},SUBSTANCE,1,1,3,ocr_noise_char;wrapped_punctuation;high_punctuation_ratio,principles_of_psychology_james_1890
ent_b4308ae73d22,g-place,G.,PLACE,1,1,3,very_short_low_count;wrapped_punctuation;high_punctuation_ratio,relation_historique_humboldt_vol3_1825
ent_cd04d1cd11c6,g,g',CONCEPT,1,1,3,very_short_low_count;wrapped_punctuation;high_punctuation_ratio,principles_of_psychology_james_1890
ent_0af4e3646121,fr-j-d-o,fr. J<»d&o,PERSON,1,1,3,ocr_noise_char;symbol_noise;high_punctuation_ratio,coloquios_da_orta_1563
ent_db293455d6d0,eiipl-oitl-ia-rfiimoalll-willd,Eiipl&oiTl>ia rFiimoalll» Willd.,PLANT,1,1,3,ocr_noise_char;symbol_noise;wrapped_punctuation,coloquios_da_orta_1563
ent_df5d88ebe842,d-nt,D^^nt),PLANT,1,1,3,ocr_noise_char;wrapped_punctuation;high_punctuation_ratio,coloquios_da_orta_1563
ent_d99103e55e55,c-v-ka,C:/)v^K«a,PERSON,1,1,3,ocr_noise_char;slash_noise;high_punctuation_ratio,relation_historique_humboldt_vol3_1825
ent_cb49513dd6bc,b-o-go-d-end,B^-O'^go d'End.,SUBSTANCE,1,1,3,ocr_noise_char;wrapped_punctuation;high_punctuation_ratio,ricettario_fiorentino_1597
ent_a03273dd72e2,4,4?!,OBJECT,1,1,3,numeric_only;punctuation_only;non_latin_low_count,relation_historique_humboldt_vol3_1825
ent_1b053c0b8733,468,468.,CONCEPT,1,1,3,wrapped_punctuation;numeric_only;non_latin_low_count,polyanthea_medicinal
ent_dfbb31526b0b,31,31.,OBJECT,1,1,3,wrapped_punctuation;numeric_only;non_latin_low_count,polyanthea_medicinal
ent_8b97fa1b45cf,282,282,CONCEPT,1,1,3,year_or_page_token;numeric_only;non_latin_low_count,relation_historique_humboldt_vol3_1825
ent_a5e49183abaa,15141,15141,OBJECT,1,1,3,numeric_only;non_latin_low_count;high_digit_ratio,coloquios_da_orta_1563
ent_6be8083b13b7,i,(I),CONCEPT,1,1,3,wrapped_punctuation;high_punctuation_ratio;bounded_by_nonword,origin_of_species_darwin_1859
ent_c7803aed9ee2,f,(F),CONCEPT,1,1,3,wrapped_punctuation;high_punctuation_ratio;bounded_by_nonword,origin_of_species_darwin_1859
ent_909618234c4e,a,(A),CONCEPT,1,1,3,wrapped_punctuation;high_punctuation_ratio;bounded_by_nonword,origin_of_species_darwin_1859
ent_99e1d50154cc,a-person,A.,PERSON,1,10,2,wrapped_punctuation;high_punctuation_ratio,polyanthea_medicinal
ent_67ae045b021c,j-r-g-s,J. R. G. S.,OBJECT,1,4,2,wrapped_punctuation;high_punctuation_ratio,coloquios_da_orta_1563
ent_1c5e902b1a3a,fen-6-lib-4-tract-4-cap-9,Fen 6. lib. 4. tract. 4. cap.9.,OBJECT,1,4,2,bibliographic_fragment;wrapped_punctuation,polyanthea_medicinal
ent_bcdddb644bfe,w-j,W. J.,PERSON,1,3,2,wrapped_punctuation;high_punctuation_ratio,principles_of_psychology_james_1890
ent_004a7d4bde71,s-m-c,S. M.C.,PERSON,1,3,2,wrapped_punctuation;high_punctuation_ratio,relation_historique_humboldt_vol3_1825
ent_6985d03d9810,s-a,S.A.,PERSON,1,2,2,wrapped_punctuation;high_punctuation_ratio,ricettario_fiorentino_1597
ent_5df5d04a33a5,niccouo-lefand,NiccoUo ^lefand.,PERSON,1,2,2,ocr_noise_char;wrapped_punctuation,ricettario_fiorentino_1597
ent_756705aa7ae9,n-61,n.61.,CONCEPT,1,2,2,wrapped_punctuation;high_punctuation_ratio,polyanthea_medicinal
ent_b319c305b87b,n-y,N. Y.,PLACE,1,2,2,wrapped_punctuation;high_punctuation_ratio,principles_of_psychology_james_1890
ent_aa29234dc753,l-c,L. c.,CONCEPT,1,2,2,wrapped_punctuation;high_punctuation_ratio,relation_historique_humboldt_vol3_1825
ent_8fdbf22a609b,d-c,D. C.,PERSON,1,2,2,wrapped_punctuation;high_punctuation_ratio,coloquios_da_orta_1563
ent_aa5f09d6fa38,p,••p,ANIMAL,1,1,2,ocr_noise_char;high_punctuation_ratio,english_physician_1652
ent_851134bcf3bf,z-a-ca-ayeras,Z/a« Ca/ayeras,PLACE,1,1,2,ocr_noise_char;slash_noise,relation_historique_humboldt_vol3_1825
ent_f62e763d10dd,ygl-o,ygl^?^^■o,OBJECT,1,1,2,ocr_noise_char;high_punctuation_ratio,relation_historique_humboldt_vol3_1825
ent_22a20ee7aa8a,vnaltro-5imle-cygno-di,VNALTRO 5IM£LE CYGNO DI/,SUBSTANCE,1,1,2,slash_noise;symbol_noise,ricettario_fiorentino_1597
ent_080cc9d0a77c,vgnadipo-c-f,Vgnadipo|c<>f,SUBSTANCE,1,1,2,ocr_noise_char;symbol_noise,ricettario_fiorentino_1597
ent_881ba896b56e,ut-ai-5g-4o,Ut. ai» 5G'4o',CONCEPT,1,1,2,ocr_noise_char;wrapped_punctuation,relation_historique_humboldt_vol3_1825
ent_e7364053638a,udi-efu,Udi<^efu€,PLANT,1,1,2,ocr_noise_char;symbol_noise,ricettario_fiorentino_1597
ent_78144511dc03,trat-3-descreve-fea-ormacaodos-olhos-tunicas-cap-1-num-94-pag-719,"Trat.3. : Deſcreve-fea ormaçãodos olhos , tunicas, & cap.1.num.94.pag. 719...",PERSON,1,1,2,bibliographic_fragment;wrapped_punctuation,polyanthea_medicinal
ent_5227fd586915,tralian-hb-7-cap-14-mihi-fol-236,Tralian. hb.7.cap. 14.mihi fol.236.,PERSON,1,1,2,bibliographic_fragment;wrapped_punctuation,polyanthea_medicinal
ent_01e177c2d2bb,tract-decurat-dysent-cap-6,tract.deCurat.dyſent.cap.6.,CONCEPT,1,1,2,bibliographic_fragment;wrapped_punctuation,polyanthea_medicinal
ent_29c3e46cad9d,tpnmitk-urthoncfiie-er,TpnmitK (urthoncfiie/er),SUBSTANCE,1,1,2,slash_noise;wrapped_punctuation,relation_historique_humboldt_vol3_1825
ent_679b2baef756,te-rv-moy,TE>rV. MOY.,CONCEPT,1,1,2,symbol_noise;wrapped_punctuation,relation_historique_humboldt_vol3_1825
ent_d694587eb076,t-o-d,T. O. D.,ANATOMY,1,1,2,wrapped_punctuation;high_punctuation_ratio,principles_of_psychology_james_1890
ent_4d5c9cb88876,s-w,S.W.,CONCEPT,1,1,2,wrapped_punctuation;high_punctuation_ratio,coloquios_da_orta_1563
ent_538da23ab9fa,rof-mo-aa,rof^mo/Aa,SUBSTANCE,1,1,2,ocr_noise_char;slash_noise,coloquios_da_orta_1563
ent_346ca7e491b6,rai,rai:(^,PLANT,1,1,2,ocr_noise_char;high_punctuation_ratio,coloquios_da_orta_1563
ent_bcea04f1d322,r-w,R. W.,PERSON,1,1,2,wrapped_punctuation;high_punctuation_ratio,principles_of_psychology_james_1890
ent_de5793dc8ad9,r-parc,R. Parc},PLACE,1,1,2,ocr_noise_char;wrapped_punctuation,relation_historique_humboldt_vol3_1825
ent_91d5885c2e60,r-n-f,R. N. F.,ANATOMY,1,1,2,wrapped_punctuation;high_punctuation_ratio,principles_of_psychology_james_1890
ent_c8d29f625f8f,r-i-principles,R. I.,PLACE,1,1,2,wrapped_punctuation;high_punctuation_ratio,principles_of_psychology_james_1890
ent_f8a454a73fc2,punte-de-j-m,Punte de J/?</(M,PLACE,1,1,2,slash_noise;symbol_noise,relation_historique_humboldt_vol3_1825
ent_a6b6321fcf64,prndulvm-ej-per-iis-i-t,Prndulvm Ej-per.iiS'i^t),OBJECT,1,1,2,ocr_noise_char;wrapped_punctuation,relation_historique_humboldt_vol3_1825
ent_b9fccd2e01d3,poll,Poll^.,ANIMAL,1,1,2,ocr_noise_char;wrapped_punctuation,ricettario_fiorentino_1597
ent_25754d64d64a,pipex-ii-ifl-i-ixm9-linn,Pipex* ii.ifl^i*ixm9 Linn.,PLANT,1,1,2,ocr_noise_char;wrapped_punctuation,coloquios_da_orta_1563
ent_c905a6c2a29a,parte-tr-z,PARTE T£R:Z^,CONCEPT,1,1,2,ocr_noise_char;symbol_noise,ricettario_fiorentino_1597
ent_309891ab2208,pareus-lib-21-de-peft-cap-25-fol-mihi-473-ibi-multorum-experimenditisantimonium-prdicatur,Pareus lib. 21. de Peft. cap.25.fol . mihi 473.ibi : Multorum experimenditisAntimonium prædicatur.,OBJECT,1,1,2,bibliographic_fragment;wrapped_punctuation,polyanthea_medicinal
ent_ef43eccd108e,p-o,"P<""""<;o",PLACE,1,1,2,symbol_noise;high_punctuation_ratio,relation_historique_humboldt_vol3_1825
ent_bbb498592baa,p-o-c,P. O. C.,ANATOMY,1,1,2,wrapped_punctuation;high_punctuation_ratio,principles_of_psychology_james_1890
ent_1e6ad661140e,o-jaig,o^^-jaig,CONCEPT,1,1,2,ocr_noise_char;high_punctuation_ratio,coloquios_da_orta_1563
ent_14b0eeeed725,o-s,O. S.,ANATOMY,1,1,2,wrapped_punctuation;high_punctuation_ratio,principles_of_psychology_james_1890
ent_215498fb6d4b,o-d,O. D.,ANATOMY,1,1,2,wrapped_punctuation;high_punctuation_ratio,principles_of_psychology_james_1890
ent_df6357c643b5,o-queyxo-de,O queyxo de .........,ANIMAL,1,1,2,wrapped_punctuation;high_punctuation_ratio,polyanthea_medicinal
ent_13d415e6dec8,negres-joza-e,nègres (Joza^e*),PERSON,1,1,2,ocr_noise_char;wrapped_punctuation,relation_historique_humboldt_vol3_1825
ent_739bcf88c1e4,mw-ero-atq-coiat,Mw^^ero(atQ coìat..,SUBSTANCE,1,1,2,ocr_noise_char;wrapped_punctuation,ricettario_fiorentino_1597
ent_bdfe0d8ed718,morse-jvew-system-o-mod-geogr,"Morse, JVew-System o/Mod. Geogr.",PERSON,1,1,2,slash_noise;wrapped_punctuation,relation_historique_humboldt_vol3_1825
ent_d9d11040f43b,mihi-fol-229,mihi fol.229.,OBJECT,1,1,2,bibliographic_fragment;wrapped_punctuation,polyanthea_medicinal
ent_bee9ae30515b,marojalib-1-de-intern-morb-curat-cap-24-fol-mihi-196-col-1,Marojalib.1.de intern.morb.curat cap.24.fol . mihi 196. col. 1 .,OBJECT,1,1,2,bibliographic_fragment;wrapped_punctuation,polyanthea_medicinal
ent_fa1eba7b2a7f,m-a,M.A.,CONCEPT,1,1,2,wrapped_punctuation;high_punctuation_ratio,origin_of_species_darwin_1859
ent_6a58387c1525,lieutenance-tenencia-de-gobierno,Lieutenance {tenencia de gobierno),PLACE,1,1,2,ocr_noise_char;wrapped_punctuation,relation_historique_humboldt_vol3_1825
ent_036cfcdae782,lib-r-pharmacop-spagyr,lib.r. Pharmacop. Spagyr.,OBJECT,1,1,2,bibliographic_fragment;wrapped_punctuation,polyanthea_medicinal
ent_84dbc629923d,lib-deoctim-part,lib.deOctim part.,OBJECT,1,1,2,bibliographic_fragment;wrapped_punctuation,polyanthea_medicinal
ent_d4af1105b7f1,lib-dealiment,lib.deAliment.,OBJECT,1,1,2,bibliographic_fragment;wrapped_punctuation,polyanthea_medicinal
ent_ed00c5ea47bd,lib-de-compofitione-medicament,lib.de Compofitione medicament.,SUBSTANCE,1,1,2,bibliographic_fragment;wrapped_punctuation,polyanthea_medicinal
ent_c364e2387e56,lib-6-de-part-morb-sympt,lib.6.de Part.morb.& ſympt.,OBJECT,1,1,2,bibliographic_fragment;wrapped_punctuation,polyanthea_medicinal
ent_3b368c4d92df,lib-6-de-loc-affect-cap-2-fol-36-verf,lib.6.de Loc.affect.cap. 2. fol. 36. verf.,OBJECT,1,1,2,bibliographic_fragment;wrapped_punctuation,polyanthea_medicinal
ent_20a6206e00fa,lib-5-part-1-cap-29,lib.5. part. 1. cap. 29.,CONCEPT,1,1,2,bibliographic_fragment;wrapped_punctuation,polyanthea_medicinal
ent_892074b88d28,lib-5-cap-1-anatom,lib.5. cap. 1. Anatom.,OBJECT,1,1,2,bibliographic_fragment;wrapped_punctuation,polyanthea_medicinal
ent_f3042cb7c597,lib-2-observationum-obferv,lib.2.Obſervationum obferv .,OBJECT,1,1,2,bibliographic_fragment;wrapped_punctuation,polyanthea_medicinal
ent_489692589c60,lib-1-inftitutionum-medic,lib.1. inftitutionum Medic.,OBJECT,1,1,2,bibliographic_fragment;wrapped_punctuation,polyanthea_medicinal
ent_8c6ad052cc10,lib-2-de-febribus-cap-30,lib. 2. de febribus cap.30.,OBJECT,1,1,2,bibliographic_fragment;wrapped_punctuation,polyanthea_medicinal
ent_abd714d0fad1,lia,lia.^,PLACE,1,1,2,ocr_noise_char;high_punctuation_ratio,coloquios_da_orta_1563
ent_5d432657692b,letters-from-the-havana-to-john-jviuon-croher-esq,Letters from the Havana to John JViUon Croher^Esq.,OBJECT,1,1,2,ocr_noise_char;wrapped_punctuation,relation_historique_humboldt_vol3_1825
ent_0c8ccedfd06e,lat-5-3,Lat. 5°:;_3»,CONCEPT,1,1,2,ocr_noise_char;high_punctuation_ratio,relation_historique_humboldt_vol3_1825
ent_cdac8efe6e8c,lat-56-33,lat. 56» 33',CONCEPT,1,1,2,ocr_noise_char;wrapped_punctuation,relation_historique_humboldt_vol3_1825
ent_58f1c8f6c82b,lat-33-oi,"Lat. 33« — ôi""",CONCEPT,1,1,2,ocr_noise_char;wrapped_punctuation,relation_historique_humboldt_vol3_1825
ent_6c990ae891a1,la-sr,lA^SR.,CONCEPT,1,1,2,ocr_noise_char;wrapped_punctuation,relation_historique_humboldt_vol3_1825
ent_6e0becd0ba38,l-6,L.6',CONCEPT,1,1,2,wrapped_punctuation;high_punctuation_ratio,relation_historique_humboldt_vol3_1825
ent_a52e8ba6b437,l-t-f,L. T. F.,ANATOMY,1,1,2,wrapped_punctuation;high_punctuation_ratio,principles_of_psychology_james_1890
ent_69a3358c668f,john-jviuon-croher-esq,John JViUon Croher^Esq.,PERSON,1,1,2,ocr_noise_char;wrapped_punctuation,relation_historique_humboldt_vol3_1825
ent_ab5b314caf09,j-ova-gen,J^ova Gen.,CONCEPT,1,1,2,ocr_noise_char;wrapped_punctuation,relation_historique_humboldt_vol3_1825
ent_9d5ba130031a,j-fam,j^/fam,PLANT,1,1,2,ocr_noise_char;slash_noise,coloquios_da_orta_1563
ent_59842fa67d4a,j-v,J. V.,PERSON,1,1,2,wrapped_punctuation;high_punctuation_ratio,principles_of_psychology_james_1890
ent_3a8225b9d267,iu,Iu••,PERSON,1,1,2,ocr_noise_char;high_punctuation_ratio,english_physician_1652
ent_48aa5cd398a7,imceleast-iiick-mckrflfajriti-f-ez-ci9-linn,IMCeleasT^iiick mckrflfajriti-f*ez*ci9 Linn.,ANIMAL,1,1,2,ocr_noise_char;wrapped_punctuation,coloquios_da_orta_1563
ent_ec788887e7d2,idem-depart-morb-fol-mihi-zor,Idem dePart. morb. fol.mihi zor.,OBJECT,1,1,2,bibliographic_fragment;wrapped_punctuation,polyanthea_medicinal
ent_35782da904f2,ibid-cap-32-per-tot-pag-10,ibid.cap.32. per tot. pag.10.,PERSON,1,1,2,bibliographic_fragment;wrapped_punctuation,polyanthea_medicinal
ent_61d27d25290a,ibid-cap-9-num-70-pag-72-para-os-accidentes-uterinos-ibid-cap-90-num-9-pag-488,"ibid. cap. 9. num.70 pag. 72. & para os accidentes uterinos, ibid.cap.90.num.9.pag 488 .",CONCEPT,1,1,2,bibliographic_fragment;wrapped_punctuation,polyanthea_medicinal
ent_64d371f04374,i-pex-oflleinel-inaxn-c-dc,I^pex* oflleineL-inaxn C. DC.,PLANT,1,1,2,ocr_noise_char;wrapped_punctuation,coloquios_da_orta_1563
ent_b3f0d1af83e6,i-pex-loitflriui-linn,I^pex* loitflriui& Linn.,PLANT,1,1,2,ocr_noise_char;wrapped_punctuation,coloquios_da_orta_1563
ent_2062f6c83b82,galenus-lib-4-de-locis-affectis-cap,"Galenus lib.4. de Locis affectis,cap.",OBJECT,1,1,2,bibliographic_fragment;wrapped_punctuation,polyanthea_medicinal
ent_4be201833b94,g-c,G.C.,PERSON,1,1,2,wrapped_punctuation;high_punctuation_ratio,ricettario_fiorentino_1597
ent_3247eb3c405d,fragmeti-di-me-mera-idi-pnencah-an-j-i,Fragméti di (me- mera Idi pnencah ^an.j-i.,SUBSTANCE,1,1,2,ocr_noise_char;wrapped_punctuation,ricettario_fiorentino_1597
ent_fff215ec4659,f-o,F. O.,ANATOMY,1,1,2,wrapped_punctuation;high_punctuation_ratio,principles_of_psychology_james_1890
ent_dcac786e58dc,f-l-d,F. L. D.,ANATOMY,1,1,2,wrapped_punctuation;high_punctuation_ratio,principles_of_psychology_james_1890
ent_e75e44d62ddc,f-c-s,F. C. S.,ANATOMY,1,1,2,wrapped_punctuation;high_punctuation_ratio,principles_of_psychology_james_1890
ent_cbf77d6ce1ae,empyr-cap-da5,Empyr.cap.DA5.,CONCEPT,1,1,2,bibliographic_fragment;wrapped_punctuation,polyanthea_medicinal
ent_dc57b2798023,e-v,E. V.,PERSON,1,1,2,wrapped_punctuation;high_punctuation_ratio,origin_of_species_darwin_1859
ent_c746efcbdf91,dipo-ipo-io,dipo'ipo<^io,PLANT,1,1,2,ocr_noise_char;symbol_noise,ricettario_fiorentino_1597
ent_ed281fcf3b2b,d-v-a-s,D. V.A.S.,PERSON,1,1,2,wrapped_punctuation;high_punctuation_ratio,ricettario_fiorentino_1597
ent_9ca87ef34539,cordj-fe-re-fe-californie,Cordj/fe're <fe Californie,PLACE,1,1,2,slash_noise;symbol_noise,relation_historique_humboldt_vol3_1825
ent_6aeeb4b962ac,confili-dell-z-rtcy,Confili dell' z/^rtCy,PERSON,1,1,2,ocr_noise_char;slash_noise,ricettario_fiorentino_1597
ent_b8fab854ce62,chatigam-c-hittagong,Chatígam (C^hittagong),PLACE,1,1,2,ocr_noise_char;wrapped_punctuation,coloquios_da_orta_1563
ent_8a4e97034bf9,cego-plant,Cego^^^^»^*^*»!,PLANT,1,1,2,ocr_noise_char;high_punctuation_ratio,ricettario_fiorentino_1597
ent_fcf574c2f910,catho-concept,Catho},CONCEPT,1,1,2,ocr_noise_char;wrapped_punctuation,coloquios_da_orta_1563
ent_6f0af4d9b009,cara-a-as,CARA^a>AS,PLANT,1,1,2,ocr_noise_char;symbol_noise,coloquios_da_orta_1563
ent_30523467f4ad,cap-101-1-6-p-532,Cap.101.1.6.p.532,CONCEPT,1,1,2,bibliographic_fragment;high_digit_ratio,polyanthea_medicinal
ent_7b1e2d964acb,cap-10-mihi-fol-313,cap. 10. mihi fol.313.,CONCEPT,1,1,2,bibliographic_fragment;wrapped_punctuation,polyanthea_medicinal
ent_8ea279f896d4,bastel-lib-3-de-vict-rat-fol-mihi-75,Baſtel lib.3.de Vict. rat.fol mihi 75.,PERSON,1,1,2,bibliographic_fragment;wrapped_punctuation,polyanthea_medicinal
ent_9a49f485afca,ba-substance,ba..,SUBSTANCE,1,1,2,wrapped_punctuation;high_punctuation_ratio,polyanthea_medicinal
ent_d703c1ec2007,b-c,B.C.,CONCEPT,1,1,2,wrapped_punctuation;high_punctuation_ratio,principles_of_psychology_james_1890
ent_138a02577718,ainna,A••i••nna,PERSON,1,1,2,ocr_noise_char;high_punctuation_ratio,english_physician_1652
ent_97476de94b8d,ati-cennserpk,Atí* cenn«Ser«pk>,PERSON,1,1,2,ocr_noise_char;symbol_noise,coloquios_da_orta_1563
ent_3fcf25869c5b,ant-o-hindoo-med,Ant. o/Hindoo med.,OBJECT,1,1,2,slash_noise;wrapped_punctuation,coloquios_da_orta_1563
ent_c01617952327,angen-lib-1-epift-2-fol-mihi-14,Angen. lib.1. Epift. 2. fol. mihi 14.,OBJECT,1,1,2,bibliographic_fragment;wrapped_punctuation,polyanthea_medicinal
ent_90ad0aab95a3,a-e-oex,a^é^oex^,SUBSTANCE,1,1,2,ocr_noise_char;high_punctuation_ratio,coloquios_da_orta_1563
ent_452ceefe81e2,a-oaoia-isiuiia-kurz,"A.oa«oia« íSiuiia, Kurz.",PLANT,1,1,2,ocr_noise_char;wrapped_punctuation,coloquios_da_orta_1563
ent_55b3d6340ea8,a-d,A.D.,CONCEPT,1,1,2,wrapped_punctuation;high_punctuation_ratio,principles_of_psychology_james_1890
ent_37174fca6dcd,a-d-c,A. D.C.,CONCEPT,1,1,2,wrapped_punctuation;high_punctuation_ratio,coloquios_da_orta_1563
ent_485cde92ed61,a-principles,a''',CONCEPT,1,1,2,wrapped_punctuation;high_punctuation_ratio,principles_of_psychology_james_1890
ent_625f180244e2,5a,5a(.,CONCEPT,1,1,2,wrapped_punctuation;high_punctuation_ratio,relation_historique_humboldt_vol3_1825
ent_91f20f96d55a,3fa-mei,3fa^ mei.,CONCEPT,1,1,2,ocr_noise_char;wrapped_punctuation,coloquios_da_orta_1563
ent_eb00a10bd8c9,100-fol-mihi-297,"100, fol.mihi 297.",CONCEPT,1,1,2,bibliographic_fragment;wrapped_punctuation,polyanthea_medicinal
ent_21a86471d939,trat,Trat.,CONCEPT,1,75,1,wrapped_punctuation,polyanthea_medicinal
ent_b0ebedbfe31d,mat-med,Mat. med.,OBJECT,1,61,1,wrapped_punctuation,coloquios_da_orta_1563
ent_48506af217c9,cap,cap.,OBJECT,3,61,1,wrapped_punctuation,coloquios_da_orta_1563;polyanthea_medicinal;relation_historique_humboldt_vol3_1825
