verdict,cluster_name,modern_name,category,member_name,source_lang,pattern,reason,sim_canonical,sim_modern
SPLIT,feu volcanique,Volcanic activity,CONCEPT,feus,Portuguese,mismatch,"Latin pronoun 'suis'; not volcanic activity",0.21,0.0
SPLIT,redness,Hoarseness,DISEASE,raucedine,Portuguese,mismatch,"hoarseness (raucedine); not redness",0.33,0.2
SPLIT,Timor,Timor,PLACE,Tayrona,French,mismatch,"Tayrona (Colombia); not Timor",0.29,0.29
SPLIT,excrementos,Excrement,SUBSTANCE,escrupulos,Spanish,mismatch,"scruple (unit of weight); not excrement",0.45,0.3
SPLIT,Moçambique,Mozambique,PLACE,Motagua,French,mismatch,"Motagua River (Central America); not Mozambique",0.4,0.4
SPLIT,Moçambique,Mozambique,PLACE,Moluques,French,mismatch,"Moluccas (Indonesia); not Mozambique",0.4,0.4
SPLIT,Cotopaxi,Cotopaxi,PLACE,Cotamaluquo,Portuguese,mismatch,"Golconda/Cotalmaluco (India); not Cotopaxi volcano",0.36,0.36
SPLIT,Thibet,Tibet,PLACE,Taïti,French,mismatch,"Tahiti (Pacific island); not Tibet",0.33,0.2
SPLIT,Cocomero,Watermelon,PLANT,Coumarouma,French,mismatch,"Coumarouma (tonka bean tree); not watermelon",0.4,0.0
SPLIT,Been bianco,White beans,SUBSTANCE,blanco,French,mismatch,"white sugar; not white beans",0.45,0.18
SPLIT,crusados,Cruisado,OBJECT,croix,French,mismatch,"cross (religious object); not cruisado coin",0.25,0.38
SPLIT,Margarita,Pearl,SUBSTANCE,Aleffandrino,Italian,mismatch,"alexandrine substance; not pearl",0.25,0.25
SPLIT,mordaz,acrid,CONCEPT,mollesse,French,mismatch,"softness (opposite of acrid); not acrid",0.25,0.0
SPLIT,Ortiz,Ortiz,PLACE,Oríxá,Portuguese,mismatch,"Orissa/Odisha (India); not Ortiz (Venezuela)",0.4,0.4
SPLIT,Jeru,Jericho,PLACE,Jezreel,Portuguese,mismatch,"Jezreel (different biblical city); not Jericho",0.43,0.29
SPLIT,Dandrif,Dandruff,DISEASE,damarefia,Portuguese,mismatch,"condition causing nausea; not dandruff",0.44,0.44
SPLIT,Oxus,Amu Darya,PLACE,Ozark,French,mismatch,"Ozark Mountains (North America); not Oxus/Amu Darya",0.2,0.22
SPLIT,Nurses,Nurses,PERSON,Nurcino,Portuguese,mismatch,"lithotomist surgeon (from Norcia); not a nurse",0.43,0.43
SPLIT,corado,Reddish complexion,CONCEPT,cator,Spanish,mismatch,"heat (calor); not reddish complexion",0.33,0.11
SPLIT,nacidas,Boils,DISEASE,Freekles,English,mismatch,"freckles (skin discoloration); not boils",0.12,0.25
SPLIT,Ava,Ava,PLACE,Avidi,French,mismatch,"Monts Abibe; not Ava (Myanmar)",0.4,0.4
SPLIT,estoraque,Storax,PLANT,torchis,French,mismatch,"torchis (building material); not storax resin",0.33,0.29
SPLIT,expectoraçao,Expectoration,DISEASE,excrecencias,Portuguese,mismatch,"excrescences/growths; not expectoration",0.33,0.31
SPLIT,Leaõ,Lion,ANIMAL,Leech,English,mismatch,"leech (annelid for bloodletting); not lion",0.4,0.2
SPLIT,MU e uma noites,One Thousand and One Nights,CONCEPT,noite,Portuguese,mismatch,"generic 'night'; not the book 1001 Nights",0.33,0.15
SPLIT,houiller,Coal,SUBSTANCE,Hieiro,Spanish,mismatch,"iron (hierro); not coal",0.25,0.0
SPLIT,San Fernando,San Fernando,PLACE,San Filippe,Italian,mismatch,"San Filippo (different place); not San Fernando",0.42,0.42
SPLIT,pão,Bread,SUBSTANCE,lacre de pão,Portuguese,mismatch,"lac/lacquer in cake form; not bread",0.25,0.25
SPLIT,Sack,sack wine,PLANT,sukku,Portuguese,mismatch,"dried ginger (Sanskrit name); not sack wine",0.4,0.22
SPLIT,Nearcho,Nearchus,PERSON,Neighbors,English,mismatch,"generic 'neighbors'; not Nearchus the admiral",0.33,0.33
SPLIT,kala,Banana,CONCEPT,kelte,French,mismatch,"Celtic language family; not banana",0.4,0.0
SPLIT,fangrados,Phlebotomy,CONCEPT,fanões,Portuguese,mismatch,"fanão (coin); not phlebotomy",0.44,0.1
SPLIT,coando-se,Cervix mucus,CONCEPT,couvade,French,mismatch,"couvade ritual; not cervix mucus",0.33,0.17
SPLIT,Nifperos,quince,PLANT,nenufaro,Italian,mismatch,"nenúfar (water lily); not quince",0.25,0.12
SPLIT,Cerracca,Lac,SUBSTANCE,Ceruicabras,Spanish,mismatch,"cervicabra (hybrid creature); not lac",0.45,0.09
SPLIT,mambum,Arenga pinnata,PLANT,mamillo,Portuguese,mismatch,"mamillo/nipple; not arenga palm",0.43,0.14
SPLIT,meçuá,,PLACE,minhacaſa,Portuguese,mismatch,"'my house' (minha casa); not a place name",0.33,0
SPLIT,bengali,Bengali language,CONCEPT,banharſe,Portuguese,mismatch,"bathing (bañarse); not Bengali language",0.38,0.25
SPLIT,Lyão,Lyon,PLACE,Lyſia,Portuguese,mismatch,"Lisbon (Lysia); not Lyon",0.4,0.4
SPLIT,ficymas,phlegm,SUBSTANCE,fireixos,Portuguese,mismatch,"ash trees (freixos); not phlegm",0.38,0.12
SPLIT,Horn-Church,Hornchurch,PLACE,Horn,French,mismatch,"Cape Horn (navigation); not Hornchurch",0.36,0.4
SPLIT,Dog-wood,Cornus mas,PLANT,DOGE,Portuguese,mismatch,"doge (title); not dogwood plant",0.38,0.1
KEEP,calor,heat,CONCEPT,warm,English,translation,"Cross-linguistic match: 'warm' (English) = heat",0.2,0.0
KEEP,calor,heat,CONCEPT,caliente,Spanish,variant,"Variant spelling/form of calor: 'caliente'",0.38,0.25
KEEP,calor,heat,CONCEPT,calordas partes exteriores,Portuguese,phrase,"Contains 'calor' — descriptive phrase for heat",0.19,0.08
KEEP,calor,heat,CONCEPT,calor brando,Portuguese,phrase,"Contains 'calor' — descriptive phrase for heat",0.42,0.08
KEEP,pedras,Calculus (medicine),SUBSTANCE,Stones,English,translation,"Cross-linguistic match: 'Stones' (English) = Calculus (medicine)",0.17,0.16
KEEP,cold,cold,CONCEPT,cooling,English,variant,"Variant spelling/form of cold: 'cooling'",0.43,0.43
KEEP,Medicina,Medicine,CONCEPT,medicina mussulmana,Portuguese,phrase,"Contains 'medicina' — descriptive phrase for Medicine",0.42,0.37
KEEP,terra,earth,SUBSTANCE,terrain houiller,French,phrase,"Contains 'terra' — descriptive phrase for earth",0.31,0.19
KEEP,terra,earth,SUBSTANCE,terra ambehte,Italian,phrase,"Contains 'terra' — descriptive phrase for earth",0.38,0.23
KEEP,humores,humors,SUBSTANCE,humor phleugmatico,Portuguese,variant,"Variant spelling/form of humores: 'humor phleugmatico'",0.33,0.28
KEEP,febre,fever,DISEASE,fièvres épidémiques,French,translation,"French term for fever: context confirms 'fever' meaning",0.21,0.21
KEEP,febre,fever,DISEASE,arida eftuantequefebre,Portuguese,phrase,"Contains 'febre' — descriptive phrase for fever",0.23,0.18
KEEP,febre,fever,DISEASE,fezes ardentes,Portuguese,translation,"Portuguese term for fever: context confirms 'fever' meaning",0.29,0.29
KEEP,agua,Water,SUBSTANCE,eau,French,translation,"Cross-linguistic match: 'eau' (French) = Water",0.25,0.2
KEEP,agua,Water,SUBSTANCE,agua fria,Spanish,phrase,"Contains 'agua' — descriptive phrase for Water",0.44,0.22
KEEP,agua,Water,SUBSTANCE,agua de la corteza,Spanish,phrase,"Contains 'agua' — descriptive phrase for Water",0.22,0.17
KEEP,agua,Water,SUBSTANCE,agua salgada,Portuguese,phrase,"Contains 'agua' — descriptive phrase for Water",0.33,0.08
KEEP,agua,Water,SUBSTANCE,agua salgada,Portuguese,phrase,"Contains 'agua' — descriptive phrase for Water",0.33,0.08
KEEP,Hydropeſia,Dropsy,DISEASE,Hydropick diseases,English,variant,"Variant spelling/form of Hydropeſia: 'Hydropick diseases'",0.44,0.28
KEEP,purga,purging,CONCEPT,mannd purgativa,Portuguese,phrase,"Contains 'purga' — descriptive phrase for purging",0.33,0.33
KEEP,purga,purging,CONCEPT,Tutius purgari,Portuguese,phrase,"Contains 'purga' — descriptive phrase for purging",0.36,0.29
KEEP,purga,purging,CONCEPT,purga alviduca,Portuguese,phrase,"Contains 'purga' — descriptive phrase for purging",0.36,0.36
KEEP,purga,purging,CONCEPT,neceſſidade de purgar,Portuguese,phrase,"Contains 'purga' — descriptive phrase for purging",0.24,0.14
KEEP,dry,Dryness,CONCEPT,hot and dry,English,phrase,"Contains 'dry' — descriptive phrase for Dryness",0.27,0.09
KEEP,dry,Dryness,CONCEPT,hot, cold, moist, dry,Spanish,phrase,"Contains 'dry' — descriptive phrase for Dryness",0.14,0.1
KEEP,dry,Dryness,CONCEPT,hot, cold, moist, dry,Portuguese,phrase,"Contains 'dry' — descriptive phrase for Dryness",0.14,0.1
KEEP,dry,Dryness,CONCEPT,hot, cold, moist, dry,Italian,phrase,"Contains 'dry' — descriptive phrase for Dryness",0.14,0.1
KEEP,dry,Dryness,CONCEPT,hot, cold, moist, dry,Portuguese,phrase,"Contains 'dry' — descriptive phrase for Dryness",0.14,0.1
KEEP,Herb,herb,PLANT,Herba cali,Italian,phrase,"Contains 'herb' — descriptive phrase for herb",0.4,0.4
KEEP,Herb,herb,PLANT,herbe frciche,Italian,phrase,"Contains 'herb' — descriptive phrase for herb",0.31,0.31
KEEP,Canela,Cinnamon,PLANT,Aurundú,Portuguese,translation,"Portuguese term for Cinnamon: context confirms 'cinnamon' meaning",0.0,0.0
KEEP,Canela,Cinnamon,PLANT,aureo,Portuguese,translation,"Cross-linguistic match: 'aureo' (Portuguese) = Cinnamon",0.17,0.12
KEEP,carne,Meat,ANIMAL,Chicken,English,translation,"Cross-linguistic match: 'Chicken' (English) = Meat",0.29,0.0
KEEP,carne,Meat,ANIMAL,rim de carneiro,Portuguese,phrase,"Contains 'carne' — descriptive phrase for Meat",0.33,0.2
KEEP,cera,Wax,SUBSTANCE,di ceraio,Italian,phrase,"Contains 'cera' — descriptive phrase for Wax",0.44,0.11
KEEP,Plant,Plant,PLANT,plantes dicotylédones,French,phrase,"Contains 'plant' — descriptive phrase for Plant",0.24,0.24
KEEP,Plant,Plant,PLANT,plantes équinoxiales,French,phrase,"Contains 'plant' — descriptive phrase for Plant",0.25,0.25
KEEP,humida,Moisture,CONCEPT,iftufa humida,Italian,phrase,"Contains 'humida' — descriptive phrase for Moisture",0.46,0.08
KEEP,Roma,Rome,PLACE,Impero Romano,Italian,phrase,"Contains 'roma' — descriptive phrase for Rome",0.31,0.23
KEEP,Índia,India,PLACE,Indie orientali,Italian,variant,"Variant spelling/form of Índia: 'Indie orientali'",0.33,0.33
KEEP,sangue,Blood,SUBSTANCE,sangue di becco,Italian,phrase,"Contains 'sangue' — descriptive phrase for Blood",0.4,0.07
KEEP,fluxos,Fluxes,DISEASE,fluxo de vientre,Spanish,variant,"Variant spelling/form of fluxos: 'fluxo de vientre'",0.31,0.31
KEEP,figado,Liver,SUBSTANCE,Fieli,Italian,variant,"Variant spelling/form of figado: 'Fieli'",0.33,0.2
KEEP,folhas,leaves,PLANT,folhas do feto,Portuguese,phrase,"Contains 'folhas' — descriptive phrase for leaves",0.43,0.21
KEEP,Ciatica,Sciatica,DISEASE,ciragra,Portuguese,variant,"Variant spelling/form of Ciatica: 'ciragra'",0.43,0.38
KEEP,Goa,Goa,PLACE,cidade de Goa,Portuguese,phrase,"Contains 'goa' — descriptive phrase for Goa",0.23,0.23
KEEP,nervos,Nerves,SUBSTANCE,nervos auditórios,Portuguese,phrase,"Contains 'nervos' — descriptive phrase for Nerves",0.35,0.29
KEEP,madre,Dura mater,SUBSTANCE,Mother,English,variant,"Variant spelling/form of madre: 'Mother'",0.33,0.3
KEEP,Seed,Seed,PLANT,semilla,Spanish,translation,"Spanish term for Seed: context confirms 'seed' meaning",0.29,0.29
KEEP,Swellings,swellings,DISEASE,inchaços,Portuguese,translation,"Portuguese term for swellings: context confirms 'swellings' meaning",0.11,0.11
KEEP,Swellings,swellings,DISEASE,inchaços,Portuguese,translation,"Portuguese term for swellings: context confirms 'swellings' meaning",0.11,0.11
KEEP,Swellings,swellings,DISEASE,inchaços peſtilentes,Portuguese,translation,"Portuguese term for swellings: context confirms 'swellings' meaning",0.25,0.25
KEEP,Body,Human body,SUBSTANCE,corpo,Portuguese,translation,"Cross-linguistic match: 'corpo' (Portuguese) = Human body",0.2,0.1
KEEP,Body,Human body,SUBSTANCE,Corpo,Italian,translation,"Italian term related to Body: context mentions 'body'",0.2,0.1
KEEP,Body,Human body,SUBSTANCE,corpo,Portuguese,translation,"Portuguese term related to Body: context mentions 'body'",0.2,0.1
KEEP,Body,Human body,SUBSTANCE,body parts,Portuguese,phrase,"Contains 'body' — descriptive phrase for Human body",0.4,0.0
KEEP,Greci,Greeks,PERSON,Gregos antiguos,Portuguese,translation,"Cross-linguistic match: 'Gregos antiguos' (Portuguese) = Greeks",0.27,0.27
KEEP,Greci,Greeks,PERSON,Græcor.,Portuguese,variant,"Variant spelling/form of Greci: 'Græcor.'",0.43,0.29
KEEP,Sol,Sun,OBJECT,chapeo de Sol,Portuguese,phrase,"Contains 'sol' — descriptive phrase for Sun",0.23,0.08
KEEP,Rosewater,Rosewater,SUBSTANCE,agua rosada,Spanish,translation,"Cross-linguistic match: 'agua rosada' (Spanish) = Rosewater",0.09,0.09
KEEP,Rosewater,Rosewater,SUBSTANCE,agua rosada,Portuguese,translation,"Cross-linguistic match: 'agua rosada' (Portuguese) = Rosewater",0.09,0.09
KEEP,Rosewater,Rosewater,SUBSTANCE,agua rosada,Portuguese,translation,"Cross-linguistic match: 'agua rosada' (Portuguese) = Rosewater",0.09,0.09
KEEP,ventosidades,Flatulence,DISEASE,Windiness,English,translation,"Cross-linguistic match: 'Windiness' (English) = Flatulence",0.25,0.1
KEEP,ventosidades,Flatulence,DISEASE,vento,Portuguese,variant,"Variant spelling/form of ventosidades: 'vento'",0.42,0.2
KEEP,Oximel,Oxymel,SUBSTANCE,oximel simplez,Portuguese,phrase,"Contains 'oximel' — descriptive phrase for Oxymel",0.43,0.36
KEEP,cidra,Citron,PLANT,caſquinha de cidra,Portuguese,phrase,"Contains 'cidra' — descriptive phrase for Citron",0.28,0.11
KEEP,Cordova,Córdoba,PLACE,Cordova del Tucuman,French,phrase,"Contains 'cordova' — descriptive phrase for Córdoba",0.37,0.32
KEEP,Nitro,Saltpeter,SUBSTANCE,Stumiadi nitro,Italian,phrase,"Contains 'nitro' — descriptive phrase for Saltpeter",0.36,0.21
KEEP,Nitro,Saltpeter,SUBSTANCE,nitro diaphoretico,Portuguese,phrase,"Contains 'nitro' — descriptive phrase for Saltpeter",0.28,0.17
KEEP,oliveira,Olive tree,PLANT,Oyl Olive,English,variant,"Variant spelling/form of oliveira: 'Oyl Olive'",0.33,0.2
KEEP,pez,Pitch,SUBSTANCE,pez liquido,Portuguese,phrase,"Contains 'pez' — descriptive phrase for Pitch",0.27,0.18
KEEP,Acacia,Acacia,PLANT,Acacia cornigera,French,phrase,"Contains 'acacia' — descriptive phrase for Acacia",0.38,0.38
KEEP,color,Color,CONCEPT,de couleur,French,variant,"Variant spelling/form of color: 'de couleur'",0.4,0.4
KEEP,color,Color,CONCEPT,cor negra,Portuguese,translation,"Portuguese term for Color: context confirms 'color' meaning",0.33,0.33
KEEP,veas,Vein,SUBSTANCE,vea do artelho,Portuguese,translation,"Portuguese term for Vein: context confirms 'vein' meaning",0.21,0.14
KEEP,veas,Vein,SUBSTANCE,veas subclaveas,Portuguese,phrase,"Contains 'veas' — descriptive phrase for Vein",0.27,0.13
KEEP,veas,Vein,SUBSTANCE,Veas Guides,Portuguese,phrase,"Contains 'veas' — descriptive phrase for Vein",0.36,0.27
KEEP,veas,Vein,SUBSTANCE,veas que estaó detraz dasorelhas,Portuguese,phrase,"Contains 'veas' — descriptive phrase for Vein",0.12,0.06
KEEP,veas,Vein,SUBSTANCE,veas Emul. gentes,Portuguese,phrase,"Contains 'veas' — descriptive phrase for Vein",0.24,0.18
KEEP,Europe,Europe,PLACE,nations de l'Europe,French,phrase,"Contains 'europe' — descriptive phrase for Europe",0.32,0.32
KEEP,Europe,Europe,PLACE,Europe orientale,French,phrase,"Contains 'europe' — descriptive phrase for Europe",0.38,0.38
KEEP,Root,Root,PLANT,grass Roots,English,phrase,"Contains 'root' — descriptive phrase for Root",0.36,0.36
KEEP,Root,Root,PLANT,raiz,Portuguese,translation,"Cross-linguistic match: 'raiz' (Portuguese) = Root",0.25,0.25
KEEP,camaras,Choleric flux,DISEASE,Camaras cholericas,Spanish,phrase,"Contains 'camaras' — descriptive phrase for Choleric flux",0.39,0.28
KEEP,camaras,Choleric flux,DISEASE,ogenerode camaras,Portuguese,phrase,"Contains 'camaras' — descriptive phrase for Choleric flux",0.41,0.18
KEEP,olio,oil,SUBSTANCE,gi-Oliodi cofto,Italian,phrase,"Contains 'olio' — descriptive phrase for oil",0.27,0.13
KEEP,olio,oil,SUBSTANCE,azeyte ordinario,Portuguese,translation,"Portuguese term for oil: context confirms 'oil' meaning",0.19,0.12
KEEP,olio,oil,SUBSTANCE,azeytes,Spanish,translation,"Spanish term for oil: context confirms 'oil' meaning",0.0,0.0
KEEP,rins,kidney,SUBSTANCE,regiaó dos rins,Portuguese,phrase,"Contains 'rins' — descriptive phrase for kidney",0.27,0.13
KEEP,Urine,urine,SUBSTANCE,Passages of Urine,English,phrase,"Contains 'urine' — descriptive phrase for urine",0.29,0.29
KEEP,bexiga,bladder,SUBSTANCE,bexiga resfriada,Portuguese,phrase,"Contains 'bexiga' — descriptive phrase for bladder",0.38,0.25
KEEP,bexiga,bladder,SUBSTANCE,bexiga paralytica,Portuguese,phrase,"Contains 'bexiga' — descriptive phrase for bladder",0.35,0.18
KEEP,Wounds,wounds,DISEASE,inward Wounds,English,phrase,"Contains 'wounds' — descriptive phrase for wounds",0.46,0.46
KEEP,Wounds,wounds,DISEASE,bleeding Wounds,English,phrase,"Contains 'wounds' — descriptive phrase for wounds",0.4,0.4
KEEP,Wounds,wounds,DISEASE,contusões,Portuguese,variant,"Variant spelling/form of Wounds: 'contusões'",0.33,0.33
KEEP,Wounds,wounds,DISEASE,feridas,Portuguese,translation,"Portuguese term for wounds: context confirms 'wounds' meaning",0.29,0.29
KEEP,Wine,wine,SUBSTANCE,Wine Lees,English,phrase,"Contains 'wine' — descriptive phrase for wine",0.44,0.44
KEEP,Malabar,Malabar Coast,PLACE,Gates du Malabar,French,phrase,"Contains 'malabar' — descriptive phrase for Malabar Coast",0.44,0.19
KEEP,Eyes,Eyes,SUBSTANCE,olhos,Portuguese,translation,"Cross-linguistic match: 'olhos' (Portuguese) = Eyes",0.2,0.2
KEEP,Eyes,Eyes,SUBSTANCE,olhos,Portuguese,translation,"Portuguese term for Eyes: context confirms 'eyes' meaning",0.2,0.2
KEEP,Asthma,Asthma,DISEASE,Astmatick,English,translation,"English term for Asthma: context confirms 'asthma' meaning",0.44,0.44
KEEP,Trinidad,Trinidad,PLACE,Tueblo de la Trinidad,French,phrase,"Contains 'trinidad' — descriptive phrase for Trinidad",0.38,0.38
KEEP,Ruybarbo,Rhubarb,PLANT,ruy,Portuguese,variant,"Variant spelling/form of Ruybarbo: 'ruy'",0.38,0.29
KEEP,lombrigas,Worms,DISEASE,llagas,Spanish,variant,"Variant spelling/form of lombrigas: 'llagas'",0.44,0.17
KEEP,lombrigas,Worms,DISEASE,lombrigas torradas como carvão,Portuguese,phrase,"Contains 'lombrigas' — descriptive phrase for Worms",0.3,0.1
KEEP,Lisboa,Lisbon,PLACE,Caſtello de Lisboa,Portuguese,phrase,"Contains 'lisboa' — descriptive phrase for Lisbon",0.33,0.28
KEEP,Gout,Gout,DISEASE,pains of the Gout,English,phrase,"Contains 'gout' — descriptive phrase for Gout",0.24,0.24
KEEP,Gout,Gout,DISEASE,gota coral,Spanish,translation,"Spanish term for Gout: context confirms 'gout' meaning",0.2,0.2
KEEP,Gout,Gout,DISEASE,gota coral,Portuguese,translation,"Portuguese term for Gout: context confirms 'gout' meaning",0.2,0.2
KEEP,Gout,Gout,DISEASE,Artetica,Portuguese,translation,"Cross-linguistic match: 'Artetica' (Portuguese) = Gout",0.12,0.12
KEEP,Gout,Gout,DISEASE,artetica,Portuguese,translation,"Portuguese term for Gout: context confirms 'gout' meaning",0.12,0.12
KEEP,cap.,Chapter reference,OBJECT,capitulo,Portuguese,variant,"Variant spelling/form of cap.: 'capitulo'",0.38,0.18
KEEP,cap.,Chapter reference,OBJECT,Cap. 59. n. pag. 568,Portuguese,phrase,"Contains 'cap.' — descriptive phrase for Chapter reference",0.2,0.15
KEEP,Santiago de Cuba,Santiago de Cuba,PLACE,Cuba,Portuguese,translation,"Cross-linguistic match: 'Cuba' (Portuguese) = Santiago de Cuba",0.25,0.25
KEEP,calamo aromático,Acorus Calamus,PLANT,calamo,Portuguese,variant,"Variant spelling/form of calamo aromático: 'calamo'",0.38,0.36
KEEP,calamo aromático,Acorus Calamus,PLANT,Heger,Portuguese,translation,"Cross-linguistic match: 'Heger' (Portuguese) = Acorus Calamus",0.06,0.0
KEEP,Summer,Summer season,CONCEPT,verano,Spanish,subtype,"Related term in Spanish: 'verano' for Summer season",0.0,0.31
KEEP,Decoction,Decoction,SUBSTANCE,cozimentos de legumes,Portuguese,translation,"Portuguese term for Decoction: context confirms 'decoction' meaning",0.1,0.1
KEEP,cozimento,Cooking,CONCEPT,cottura,Italian,translation,"Italian term for Cooking: context confirms 'cooking' meaning",0.22,0.29
KEEP,alimentos,Food,SUBSTANCE,comestibles,French,translation,"French term for Food: context confirms 'food' meaning",0.27,0.09
KEEP,alimentos,Food,SUBSTANCE,comida,Spanish,translation,"Spanish term for Food: context confirms 'food' meaning",0.11,0.33
